run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc,firearea
87,868.7,1539.8,8,31,197,2.8,200.1,32.8,22.5,16.8,83,5,1,11,38.3,75.1,0.2
88,127.7,289.3,1,42,28,25.7,175.1,20.0,3.0,13.7,96,2,0,35,68.6,33.8,0.2
89,172.8,772.0,20,41,313,19.8,81.4,5.6,20.4,31.8,34,3,0,13,61.9,83.3,0.0
90,1449.9,-700.8,19,28,215,2.5,123.9,2.2,2.2,15.4,16,1,0,19,34.6,57.2,0.0
91,1402.8,-3.5,28,31,298,15.7,0.8,2.8,29.5,7.3,81,0,0,29,81.6,83.7,0.0
92,-474.8,647.5,18,10,81,17.9,198.8,36.8,19.3,8.7,2,0,0,24,46.0,64.8,0.0
93,140.5,1605.0,38,10,111,21.1,67.7,4.8,12.4,21.5,49,5,1,35,56.3,68.3,0.0
94,-1209.1,985.8,32,20,7,11.7,83.2,32.1,25.4,15.2,63,1,0,28,40.2,62.7,0.0
95,1051.8,-478.3,40,11,308,0.9,161.8,13.4,35.0,19.6,91,2,0,10,58.5,50.6,0.0
96,979.6,-752.2,33,0,240,15.5,127.0,24.1,5.6,2.3,29,1,0,25,75.9,84.1,0.0
97,539.4,-811.5,28,2,159,27.4,25.7,2.0,6.3,11.5,96,2,1,34,66.8,91.2,0.0
98,-127.6,-557.2,19,15,227,14.0,147.8,32.7,17.5,3.4,58,2,0,36,57.4,64.6,0.0
99,-448.6,1189.6,30,34,278,10.1,173.1,19.6,37.1,8.3,57,5,1,27,32.3,43.1,0.0
100,-850.2,-210.3,6,20,11,23.8,268.7,34.7,6.9,14.8,43,5,2,8,94.6,49.6,0.2
101,-945.7,-1255.7,14,14,191,8.6,112.9,28.9,7.3,13.9,80,3,1,22,85.0,80.0,0.2
102,769.7,291.1,28,21,139,12.8,200.9,24.4,6.8,15.8,28,3,0,40,65.0,77.6,0.0
103,1652.7,1614.6,18,36,322,10.4,259.3,20.2,33.3,13.9,17,4,1,26,45.5,77.3,0.0
104,1135.4,-776.1,26,5,283,24.8,267.8,7.7,5.9,34.2,48,3,2,18,36.4,84.2,0.0
105,160.1,1309.6,12,28,107,22.7,330.2,24.5,38.4,25.1,2,4,0,17,90.3,85.1,0.2
106,1053.0,-1909.6,10,19,294,17.3,58.6,37.8,13.6,7.0,89,5,1,25,88.2,69.3,0.0
107,-795.5,-451.7,1,25,285,22.4,0.6,3.1,33.4,7.8,12,2,1,23,31.1,50.0,3419.5
108,1119.0,-417.8,24,29,182,14.5,98.6,27.5,25.8,7.6,48,4,1,16,37.8,33.7,0.0
109,-1007.9,-409.8,35,24,237,3.4,150.1,36.6,2.7,15.5,84,3,2,33,42.6,41.2,0.0
110,1540.8,-1842.8,33,43,171,4.3,34.6,19.1,30.6,17.3,87,4,1,39,37.0,87.2,0.0
111,314.8,-1498.1,12,21,80,11.1,124.3,16.4,22.4,33.0,85,5,2,8,35.4,50.1,908.0
112,1619.2,297.7,15,36,144,30.8,141.7,31.2,27.5,36.4,6,2,1,13,97.1,83.9,0.2
113,-1069.7,-1071.3,19,17,231,20.9,209.9,15.1,38.2,2.2,25,4,2,37,75.9,65.7,0.0
114,328.8,-1630.9,38,23,256,3.8,352.1,33.6,26.9,19.6,91,0,0,28,85.4,68.8,0.0
115,-1229.3,-145.7,23,8,88,23.3,309.5,13.0,15.8,19.9,98,4,1,40,98.5,73.5,0.0
116,-565.6,1537.4,16,34,5,29.7,212.3,27.4,2.6,31.0,16,4,1,17,55.2,71.5,0.0
117,-938.2,-782.0,14,14,175,1.8,201.4,20.4,29.1,9.7,100,3,1,33,37.7,97.4,114.3
118,493.1,-1425.7,17,45,134,15.0,330.2,28.9,31.9,13.0,77,4,0,31,81.9,53.4,0.0
119,1664.8,1130.5,28,35,158,2.0,213.5,9.0,15.4,29.2,70,0,0,10,79.3,47.0,0.0
120,-1068.1,746.6,26,18,44,2.9,15.0,27.3,30.9,22.4,97,3,0,25,66.1,52.7,0.0
121,-1902.7,-931.5,36,3,225,11.4,291.0,12.1,6.9,25.0,68,1,0,2,44.0,59.4,0.0
122,313.3,104.0,12,22,314,4.0,207.7,30.9,10.4,12.4,20,3,0,25,78.1,45.3,0.2
123,254.0,651.8,31,28,19,23.0,96.6,25.3,30.9,39.4,61,5,2,33,92.4,56.6,0.0
124,-1503.4,-1583.3,35,43,147,19.3,273.3,17.1,18.6,20.9,60,4,1,24,59.9,48.2,0.0
125,1911.7,1459.5,23,29,15,14.1,300.0,26.1,6.6,5.1,84,4,2,23,33.5,41.3,0.0
126,32.3,531.3,29,16,76,12.7,129.7,10.3,11.1,28.0,53,4,0,6,42.3,67.7,0.0
127,982.8,921.3,10,1,326,24.7,67.0,2.9,12.2,26.4,100,5,0,9,49.6,96.6,0.2
128,-821.7,760.7,15,38,163,28.5,257.5,31.4,5.8,32.6,75,3,0,32,39.6,87.2,0.2
129,1721.7,-275.8,17,45,174,12.4,260.4,13.0,35.3,4.9,34,3,2,5,31.3,69.5,0.0
130,-1238.2,1730.1,4,20,110,5.6,287.5,36.0,14.9,23.7,38,0,0,29,71.4,68.0,0.2
131,-500.3,1300.4,2,20,213,11.9,47.6,39.9,39.9,17.2,96,3,0,16,75.2,40.2,0.2
132,285.1,360.0,38,32,68,22.5,237.3,19.7,39.7,10.8,71,4,1,25,99.4,62.2,0.0
133,1404.1,795.7,30,27,243,10.2,266.8,13.2,7.1,16.4,65,4,2,9,48.6,91.2,0.0
134,-1098.2,164.9,38,28,160,21.6,293.1,11.0,30.1,12.4,71,4,0,15,70.6,45.8,0.0
135,1546.8,1864.7,6,43,53,13.7,241.3,25.4,21.0,33.3,84,3,2,32,79.5,43.2,0.0
136,-17.6,-340.3,13,1,338,14.9,274.6,16.0,23.1,36.4,84,3,1,33,35.0,78.8,897.8
137,1174.7,853.0,11,6,208,6.7,211.6,26.2,14.8,4.4,26,1,0,9,51.7,34.9,0.2
138,-1571.4,1300.5,6,42,100,25.6,187.7,17.6,4.1,18.6,96,4,2,40,94.3,36.9,141.7
139,-1619.2,884.3,17,19,202,29.2,153.3,29.4,13.0,17.9,51,0,0,11,41.7,45.9,0.0
140,-1829.7,-625.0,27,35,353,16.3,253.3,10.1,13.5,37.1,93,5,1,20,52.9,41.7,0.0
141,612.7,215.2,11,17,15,16.8,208.5,22.0,25.6,32.5,11,4,2,22,70.4,90.9,0.2
142,536.9,-1803.2,39,3,304,1.9,26.1,13.4,4.8,33.7,29,5,1,2,56.3,44.0,0.0
143,476.7,1396.8,14,27,164,7.6,114.4,22.5,16.7,3.7,65,4,1,5,42.9,31.7,79.4
144,1787.3,84.5,39,33,146,25.3,291.3,12.7,2.8,3.8,94,4,1,11,95.6,53.6,0.0
145,-98.8,-802.8,34,11,110,3.5,28.1,5.5,25.6,10.7,6,2,0,23,54.3,83.8,0.0
146,-1711.3,1167.6,21,7,254,3.6,37.8,19.4,8.9,23.7,7,4,0,9,60.0,68.4,0.0
147,-750.7,345.0,32,4,75,9.4,117.5,30.1,30.6,35.2,9,3,1,39,42.2,55.3,0.0
148,1702.4,-1318.0,34,30,102,8.7,141.0,17.6,24.1,10.2,12,3,0,9,76.9,45.0,0.0
149,-524.4,1469.1,26,8,76,17.8,95.0,38.6,16.8,34.3,18,5,1,10,93.2,81.5,0.0
150,-407.3,-1554.5,31,33,162,24.8,214.0,24.1,39.2,25.7,33,1,0,23,68.2,37.1,0.0
151,-1794.2,-103.6,20,34,93,24.4,147.6,35.0,6.1,10.8,79,5,0,11,81.1,66.2,0.0
152,-482.0,51.2,19,4,13,20.0,201.5,9.2,16.9,22.4,33,2,0,34,37.7,65.8,0.0
153,-485.1,733.2,9,41,324,6.5,135.8,4.6,23.4,22.1,46,4,2,24,67.2,97.0,805.5
154,-1753.9,218.3,29,24,33,3.7,298.9,10.7,30.5,11.3,100,2,1,10,70.1,32.3,0.0
155,702.6,50.5,15,22,168,27.4,43.2,6.9,11.1,17.9,40,1,0,30,40.2,63.4,0.4
156,3.7,-1059.2,27,16,0,1.5,329.7,36.1,3.2,33.5,38,3,2,5,53.4,84.2,0.0
157,1318.8,1894.8,16,31,51,7.3,284.7,21.7,29.8,11.5,91,5,0,5,69.4,79.7,0.0
158,242.3,-1376.1,22,13,337,30.1,237.1,26.4,24.1,22.1,13,2,1,20,54.2,74.1,0.0
159,-1726.3,-244.9,7,44,320,17.2,213.0,2.6,27.4,26.4,62,5,1,5,56.1,85.0,0.4
160,-398.3,256.5,1,14,329,16.4,167.2,21.9,28.3,28.5,98,5,2,13,54.8,77.5,0.2
161,-1200.2,-1624.9,1,34,218,14.1,191.7,36.0,28.9,30.4,11,5,1,23,44.3,80.8,0.2
162,1091.3,-1826.5,30,37,100,17.0,54.4,7.7,20.9,4.9,25,2,1,9,73.6,78.5,0.0
163,1720.5,-1588.7,2,2,95,6.3,127.7,39.8,38.9,18.4,8,2,0,9,76.1,40.7,0.2
164,1904.7,-1214.0,4,28,176,10.1,198.2,19.3,26.8,28.2,52,5,2,10,49.8,44.6,0.0
165,1246.1,1751.1,30,22,224,27.9,190.9,17.5,34.2,23.1,93,1,0,2,53.9,79.1,0.0
166,-1513.4,-404.5,31,44,197,4.6,186.6,28.0,23.7,19.1,25,2,0,12,62.5,31.0,0.0
167,-1208.0,-713.1,8,39,256,13.7,169.1,14.8,3.9,29.3,25,3,1,21,39.2,62.9,199.9
168,90.2,1759.5,5,26,138,17.7,255.6,21.3,5.4,3.4,24,2,1,15,39.5,42.3,0.2
169,461.4,1369.7,17,2,138,28.3,268.5,7.3,28.2,8.4,73,0,0,18,90.7,91.7,0.0
170,481.8,774.0,14,36,128,1.3,340.2,25.6,8.1,30.0,73,5,0,37,40.9,71.0,0.2
171,53.0,1807.4,20,32,129,1.0,212.6,37.0,39.0,26.6,97,0,0,32,81.5,46.2,0.0
172,-1215.6,786.7,25,26,210,7.3,88.1,11.8,11.2,6.0,86,5,0,12,72.8,66.7,0.0
173,-817.9,-998.0,27,13,197,24.5,20.5,28.4,2.0,27.4,60,2,1,1,98.8,52.7,0.0
174,-961.5,-274.9,35,34,128,20.9,174.4,20.1,31.4,16.6,40,1,0,27,61.5,36.1,0.0
175,822.9,1558.7,40,0,357,19.0,347.2,18.4,16.3,28.7,87,4,1,6,69.8,46.4,0.0
176,472.0,33.2,29,25,268,6.4,89.4,32.2,38.2,11.3,14,2,0,2,69.8,82.5,0.0
177,777.6,-428.0,10,29,137,10.2,338.7,30.1,19.7,16.0,23,2,0,38,56.8,50.2,0.2
178,-183.5,-1647.8,2,27,196,26.1,266.4,15.1,38.5,33.3,15,1,0,8,48.7,82.5,0.2
179,1179.3,428.2,19,21,100,29.7,10.9,15.6,13.6,26.9,26,5,0,21,64.9,44.2,0.0
